goods_code_6,Description_6,indent,CODE_2,CODE_4,CODE_6,CODE_8,CODE_10,CODE_14
0303540000 80,"Mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus)","- - ",03,03,54,00,00,80
0303550000 80,Jack and horse mackerel (Trachurus spp.),"- - ",03,03,55,00,00,80
0303560000 80,Cobia (Rachycentron canadum),"- - ",03,03,56,00,00,80
0303570000 80,Swordfish (Xiphias gladius),"- - ",03,03,57,00,00,80
0303590000 80,Other,"- - ",03,03,59,00,00,80
0303630000 10,"Fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae, excluding edible fish offal of subheadings 0303|91|to 0303|99","- ",03,03,63,00,00,10
0303630000 80,"Cod (Gadus morhua, Gadus ogac, Gadus macrocephalus)","- - ",03,03,63,00,00,80
0303640000 80,Haddock (Melanogrammus aeglefinus),"- - ",03,03,64,00,00,80
0303650000 80,Coalfish (Pollachius virens),"- - ",03,03,65,00,00,80
0303660000 80,"Hake (Merluccius spp., Urophycis spp.)","- - ",03,03,66,00,00,80
0303670000 80,Alaska pollock (Theragra chalcogramma),"- - ",03,03,67,00,00,80
0303680000 80,"Blue whiting (Micromesistius poutassou, Micromesistius australis)","- - ",03,03,68,00,00,80
0303690000 80,Other,"- - ",03,03,69,00,00,80
0303810000 10,"Other fish, excluding edible fish offal of subheadings 0303|91|to 0303|99","- ",03,03,81,00,00,10
0303810000 80,Dogfish and other sharks,"- - ",03,03,81,00,00,80
0303820000 80,Rays and skates (Rajidae),"- - ",03,03,82,00,00,80
0303830000 80,Toothfish (Dissostichus spp.),"- - ",03,03,83,00,00,80
0303840000 80,Sea bass (Dicentrarchus spp.),"- - ",03,03,84,00,00,80
0303890000 80,Other,"- - ",03,03,89,00,00,80
0303910000 10,"Livers, roes, milt, fish fins, heads, tails, maws and other edible fish offal","- ",03,03,91,00,00,10
0303910000 80,"Livers, roes and milt","- - ",03,03,91,00,00,80
0303920000 80,Shark fins,"- - ",03,03,92,00,00,80
0303990000 80,Other,"- - ",03,03,99,00,00,80
0304310000 10,"Fresh or chilled fillets of tilapias (Oreochromis spp.), catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), carp (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.), eels (Anguilla spp.), Nile perch (Lates niloticus) and snakeheads (Channa spp.)","- ",03,04,31,00,00,10
0304310000 80,Tilapias (Oreochromis spp.),"- - ",03,04,31,00,00,80
0304320000 80,"Catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.)","- - ",03,04,32,00,00,80
0304330000 80,Nile perch (Lates niloticus),"- - ",03,04,33,00,00,80
0304390000 80,Other,"- - ",03,04,39,00,00,80
0304410000 10,Fresh or chilled fillets of other fish,"- ",03,04,41,00,00,10
0304410000 80,"Pacific salmon (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus), Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho)","- - ",03,04,41,00,00,80
2204220000 80,In containers holding more than 2|litres but not more than 10|litres,"- - ",22,04,22,00,00,80
0304420000 80,"Trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster)","- - ",03,04,42,00,00,80
0304430000 80,"Flat fish (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae and Citharidae)","- - ",03,04,43,00,00,80
0304440000 80,"Fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae","- - ",03,04,44,00,00,80
0304450000 80,Swordfish (Xiphias gladius),"- - ",03,04,45,00,00,80
0304460000 80,Toothfish (Dissostichus spp.),"- - ",03,04,46,00,00,80
0304470000 80,Dogfish and other sharks,"- - ",03,04,47,00,00,80
0304480000 80,Rays and skates (Rajidae),"- - ",03,04,48,00,00,80
0304490000 80,Other,"- - ",03,04,49,00,00,80
0304510000 10,"Other, fresh or chilled","- ",03,04,51,00,00,10
0304510000 80,"Tilapias (Oreochromis spp.), catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), carp (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.), eels (Anguilla spp.), Nile perch (Lates niloticus) and snakeheads (Channa spp.)","- - ",03,04,51,00,00,80
0304520000 80,Salmonidae,"- - ",03,04,52,00,00,80
0304530000 80,"Fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae and Muraenolepididae","- - ",03,04,53,00,00,80
0304540000 80,Swordfish (Xiphias gladius),"- - ",03,04,54,00,00,80
0304550000 80,Toothfish (Dissostichus spp.),"- - ",03,04,55,00,00,80
0304560000 80,Dogfish and other sharks,"- - ",03,04,56,00,00,80
